,stat,pvalue,dof,FDR
MSC,-0.534664671538992,0.60021456364939,16.0420861728573,0.630630842212704
RFX3,-0.524350005556154,0.60703668805632,16.4321958547874,0.636723136544741
TFEB,-0.518041187247186,0.611317498723979,16.4725150681843,0.639057956649269
EOMES,-0.508758208896795,0.616407799602452,20.2960715164961,0.643298072739471
TBX1,-0.494602700350568,0.627230626591074,16.94838030446,0.653496565728053
MEIS3,-0.4654930065185,0.647588596895022,16.7076275294815,0.672454269229889
RFX4,-0.446997880613474,0.660787132316379,16.2215602273869,0.684916364270855
RXRG,-0.445067847877992,0.66179217833888,17.2908120411584,0.684916364270855
MEF2B,-0.44254411551391,0.66301877776542,19.2863473610653,0.685045979684536
TWIST1,-0.38086368756639,0.708981045524454,14.1005521125831,0.730109619728825
ESRRB,-0.222793618007534,0.826578035129018,15.6491218244651,0.842838586639752
FOXK1,-0.211199986047868,0.835043862644749,18.4712444367186,0.850077385540153
GFI1,-0.192653408723417,0.849382524907561,18.0409141551577,0.860449398196259
RELA,-0.173005100750596,0.864892784729442,15.4555504038763,0.873317065100183
NFATC1,-0.0982490657594634,0.922834423834565,17.7677862379519,0.928807462176536
MEF2A,-0.0834890501064446,0.934349389254723,18.7119003131239,0.938877738475666
MEIS2,-0.064100773873575,0.949674242631775,16.2011577584004,0.952737707930588
MAFB,-0.0105380101672147,0.99172858570291,15.2589555676804,0.99172858570291
HES5,0.0452061890553017,0.964492121903813,16.3012911163446,0.966045249314286
HEY1,0.117293875774233,0.907837861247158,19.3218249211112,0.915194732083845
FOXC2,0.173555675987117,0.864385899290748,16.0411574415873,0.873317065100183
FEZF1,0.199555638028995,0.844216303451066,16.8512806739328,0.85661099632392
ZNF274,0.204191925564951,0.840880265980118,15.3841320833806,0.854620139607244
TCF7,0.266297573886672,0.794162950141169,13.0761938332044,0.811115525431539
RORC,0.324458432867395,0.750402383734368,13.9578743986017,0.767681385991409
TEAD4,0.327175424962014,0.747501359802823,17.1214376517193,0.765973386816072
FOXL1,0.331227861339558,0.745928515326069,12.5715819324325,0.765622997578903
FOXB1,0.375317860747072,0.712450617809449,15.6862365764835,0.732469891367731
FOXP2,0.414860425491538,0.685214935311906,12.6106590602865,0.706805455661701
ZBTB18,0.477692384688162,0.638293101816708,19.0903041046958,0.66391021627089
FOXD3,0.519238563430591,0.61039775430418,16.7243647498967,0.639057956649269
NR2E3,0.551459745133486,0.588852280830716,16.1839443626543,0.621266252482115
CEBPA,0.56918539390105,0.577438538498321,15.3998081416524,0.611868434320197
PITX1,0.594373893194618,0.561877997254275,13.8037830224786,0.597415579986597
IRF7,0.681062653767807,0.506797196554201,14.1866327669317,0.548222358707327
NKX2-8,0.723630385815245,0.479627764658387,16.175419680888,0.521553268562092
BHLHE41,0.72813581452994,0.47694692593708,16.1642915124303,0.519546388674017
TGIF1,0.849230731630273,0.408716391503019,15.4537289831294,0.448362602319008
FOXP1,0.947625326271543,0.357807418153236,15.5585933515406,0.395304110286524
HES7,0.980579945062925,0.34409421370398,13.4624641488942,0.380830250754227
GATA1,1.10377287140961,0.284412183386247,17.7733048523007,0.31646579260509
ELF4,1.1162925852541,0.275141488193849,24.4643886764608,0.307249561322395
PAX6,1.2922992412941,0.216787656737845,14.27103965197,0.244722182379201
SIX2,1.32613870367951,0.202360300945868,16.9765768508296,0.228851103978782
FOXH1,1.54602564009383,0.139651424571423,17.8419092899527,0.161992254263096
CREB3,1.56124618403719,0.128618755489994,30.9968978634951,0.150377567508978
ATF3,1.58179683052437,0.128324098961092,21.4588804922996,0.150315611212428
CREM,1.59693094685348,0.120430791856651,30.9857159744753,0.141871122225069
GATA2,1.63210213933675,0.116220147555681,23.0947511823862,0.137431429238847
SOX17,1.64481657969516,0.113458244607797,23.2568727192592,0.134935044256309
GRHL1,1.74852994165993,0.0914380024298958,27.726090205099,0.111300269102535
SPIC,1.82307743039346,0.0785995391254791,29.0472156118269,0.0975826613493972
ELK3,1.93110313993641,0.0631034677301072,29.5799698246068,0.0804310592789481
ZNF436,2.00246145707315,0.0542639367869214,30.2686661915721,0.0707592634831554
XBP1,2.09473751748259,0.0459134674457282,26.4503394450168,0.0622182500027079
SOX6,2.09589501306223,0.0444077281604297,30.7923050487016,0.0613813487017495
MAFG,2.1159634338461,0.0472667233298583,19.72994013762,0.0636361513228829
TEAD2,2.16005619251806,0.0389315494388129,29.8295506107465,0.0560542216456982
NR2E1,2.19821237124261,0.0418424276518799,17.2695927786778,0.0587494130913528
GMEB1,2.21338402054418,0.0345879631662926,30.1190514202685,0.0516037706469093
CEBPD,2.26009156462324,0.0310017979513961,30.9380084609279,0.0489420381282551
FOXG1,2.27419667646917,0.0345960970414167,19.220825659272,0.0516037706469093
ZNF329,2.33651183066793,0.0261245700239908,30.9069056671974,0.0448127179803615
KLF13,2.35994592074208,0.0247526992217432,30.9991422604192,0.0431879713832584
GLIS1,2.38595466133944,0.0233308242729173,30.9842096233047,0.041778657161234
ZNF490,2.3927336687446,0.0229768721081122,30.9604718266289,0.041778657161234
JDP2,2.41742356087681,0.0230767995919435,25.5580557877204,0.041778657161234
BATF3,2.42154692154005,0.0284322532294083,15.1713722347774,0.0466619037168653
PBX2,2.43002502057188,0.0244004636246798,20.47430585244,0.0431222143195225
GCM2,2.45093609241953,0.0204752790915399,29.1730620212393,0.0397458605061756
PAX1,2.45365916209115,0.0199730746959154,30.9410144754175,0.0391751493072361
ZNF586,2.45582781236681,0.0198836252522696,30.8875019145485,0.0391380218573154
ERF,2.46285037155019,0.0195934105282306,30.7323498680177,0.0389348639862683
ZBED1,2.4687051433141,0.0192821938237992,30.9703300458367,0.038752172631534
EPAS1,2.47101518683382,0.0191736722656975,30.9973643606892,0.0387208576274801
PAX2,2.49444156658304,0.0182488571330399,30.511531177871,0.0378359637891694
ZNF146,2.50001364300249,0.0179213258099716,30.9911524405561,0.0375322042215566
GMEB2,2.50117456327637,0.0178855574298293,30.9233837754959,0.0375322042215566
BCL6B,2.50533809355462,0.0177553830429305,30.6965475060188,0.0374367737379755
CENPBD1,2.51111867445466,0.0174676054178751,30.9586659675816,0.0373362562540149
